<Saved Data Information>											
���� �Ͻ� = 2016-12-07 19:40:10											
���� ���� = 350											
											
No	Measured DateTime	Calibration DB	Temperature [C]	Tree [No]	Sugar [Brix]	Acidity [%]	Firmness [Kgf]	DryMatter [%]	Coloring [%]	Size	Browning
82	2016-12-07 18:54	banana	34	0	14.9	0	0	0	0	0	0
83	2016-12-07 18:54	banana	34	0	15.2	0	0	0	0	0	0
84	2016-12-07 18:54	banana	34	0	14.8	0	0	0	0	0	0
85	2016-12-07 18:54	banana	34	0	14.8	0	0	0	0	0	0
86	2016-12-07 18:53	banana	33	0	15.1	0	0	0	0	0	0
87	2016-12-07 18:53	banana	33	0	14.7	0	0	0	0	0	0
88	2016-12-07 18:53	banana	33	0	14.7	0	0	0	0	0	0
89	2016-12-07 18:53	banana	33	0	14.6	0	0	0	0	0	0
90	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
91	2016-12-07 18:53	persimon	34	0	10.6	0	0	0	0	0	0
92	2016-12-07 18:53	persimon	34	0	10.2	0	0	0	0	0	0
93	2016-12-07 18:53	persimon	34	0	10.1	0	0	0	0	0	0
94	2016-12-07 18:54	banana	34	0	15.5	0	0	0	0	0	0
95	2016-12-07 18:54	banana	34	0	14.6	0	0	0	0	0	0
96	2016-12-07 18:54	banana	34	0	14.3	0	0	0	0	0	0
97	2016-12-07 18:54	banana	34	0	14.9	0	0	0	0	0	0
98	2016-12-07 18:54	banana	34	0	15.2	0	0	0	0	0	0
99	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
100	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
101	2016-12-07 18:53	persimon	33	0	10.5	0	0	0	0	0	0
102	2016-12-07 18:53	persimon	33	0	10.2	0	0	0	0	0	0
103	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
104	2016-12-07 18:53	persimon	33	0	9.5	0	0	0	0	0	0
105	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
106	2016-12-07 18:53	melon	34	0	17.5	0	0	0	0	0	0
107	2016-12-07 18:53	melon	34	0	17.9	0	0	0	0	0	0
108	2016-12-07 18:53	melon	34	0	18.1	0	0	0	0	0	0
109	2016-12-07 18:54	melon	34	0	18.2	0	0	0	0	0	0
110	2016-12-07 18:54	melon	34	0	17.7	0	0	0	0	0	0
111	2016-12-07 18:54	melon	34	0	17.6	0	0	0	0	0	0
112	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
113	2016-12-07 18:54	persimon	34	0	10.6	0	0	0	0	0	0
114	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
115	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
116	2016-12-07 18:53	persimon	33	0	9.8	0	0	0	0	0	0
117	2016-12-07 18:53	persimon	33	0	9.7	0	0	0	0	0	0
118	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
119	2016-12-07 18:53	persimon	33	0	10.6	0	0	0	0	0	0
120	2016-12-07 18:53	persimon	33	0	10.2	0	0	0	0	0	0
121	2016-12-07 18:53	persimon	34	0	10.1	0	0	0	0	0	0
122	2016-12-07 18:53	persimon	34	0	9.9	0	0	0	0	0	0
123	2016-12-07 18:53	persimon	34	0	10.1	0	0	0	0	0	0
124	2016-12-07 18:54	persimon	34	0	10.5	0	0	0	0	0	0
125	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
126	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
127	2016-12-07 18:54	persimon	34	0	9.5	0	0	0	0	0	0
128	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
129	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
130	2016-12-07 18:54	persimon	34	0	10.6	0	0	0	0	0	0
131	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
132	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
133	2016-12-07 18:53	persimon	33	0	9.8	0	0	0	0	0	0
134	2016-12-07 18:53	persimon	33	0	9.7	0	0	0	0	0	0
135	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
136	2016-12-07 18:53	persimon	34	0	10.6	0	0	0	0	0	0
137	2016-12-07 18:53	persimon	34	0	10.2	0	0	0	0	0	0
138	2016-12-07 18:53	persimon	34	0	10.1	0	0	0	0	0	0
139	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
140	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
141	2016-12-07 18:54	persimon	34	0	10.5	0	0	0	0	0	0
142	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
143	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
144	2016-12-07 18:54	persimon	34	0	9.5	0	0	0	0	0	0
145	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
146	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
147	2016-12-07 18:53	persimon	33	0	10.6	0	0	0	0	0	0
148	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
149	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
150	2016-12-07 18:53	persimon	33	0	9.8	0	0	0	0	0	0
151	2016-12-07 18:53	persimon	34	0	9.7	0	0	0	0	0	0
152	2016-12-07 18:53	persimon	34	0	9.9	0	0	0	0	0	0
153	2016-12-07 18:53	persimon	34	0	10.6	0	0	0	0	0	0
154	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
155	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
156	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
157	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
158	2016-12-07 18:54	persimon	34	0	10.5	0	0	0	0	0	0
159	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
160	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
161	2016-12-07 18:53	persimon	33	0	9.5	0	0	0	0	0	0
162	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
163	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
164	2016-12-07 18:53	persimon	33	0	10.6	0	0	0	0	0	0
165	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
166	2016-12-07 18:53	persimon	34	0	10.4	0	0	0	0	0	0
167	2016-12-07 18:53	persimon	34	0	9.8	0	0	0	0	0	0
168	2016-12-07 18:53	persimon	34	0	9.7	0	0	0	0	0	0
169	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
170	2016-12-07 18:54	persimon	34	0	10.6	0	0	0	0	0	0
171	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
172	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
173	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
174	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
175	2016-12-07 18:54	persimon	34	0	10.5	0	0	0	0	0	0
176	2016-12-07 18:53	persimon	33	0	10.2	0	0	0	0	0	0
177	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
178	2016-12-07 18:53	persimon	33	0	9.5	0	0	0	0	0	0
179	2016-12-07 18:53	persimon	33	0	10.4	0	0	0	0	0	0
180	2016-12-07 18:53	persimon	33	0	9.9	0	0	0	0	0	0
181	2016-12-07 18:53	persimon	34	0	10.6	0	0	0	0	0	0
182	2016-12-07 18:53	persimon	34	0	9.9	0	0	0	0	0	0
183	2016-12-07 18:53	persimon	34	0	10.4	0	0	0	0	0	0
184	2016-12-07 18:54	persimon	34	0	9.8	0	0	0	0	0	0
185	2016-12-07 18:54	persimon	34	0	9.7	0	0	0	0	0	0
186	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
187	2016-12-07 18:54	persimon	34	0	10.6	0	0	0	0	0	0
188	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
189	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
190	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
191	2016-12-07 18:53	persimon	34	0	10.5	0	0	0	0	0	0
192	2016-12-07 18:54	melon	34	0	17.5	0	0	0	0	0	0
193	2016-12-07 18:54	melon	34	0	17.9	0	0	0	0	0	0
194	2016-12-07 18:54	melon	34	0	18.1	0	0	0	0	0	0
195	2016-12-07 18:54	melon	34	0	18.2	0	0	0	0	0	0
196	2016-12-07 18:54	melon	34	0	17.7	0	0	0	0	0	0
197	2016-12-07 18:54	melon	34	0	17.6	0	0	0	0	0	0
198	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
199	2016-12-07 18:54	persimon	34	0	9.8	0	0	0	0	0	0
200	2016-12-07 18:54	melon	34	0	17.7	0	0	0	0	0	0
201	2016-12-07 18:48	Apple	32	0	15.1	0	0	15.9	0	0	Br
202	2016-12-07 18:48	Apple	32	0	13.8	0	0.68	15.7	0	0	N
203	2016-12-07 18:48	Apple	32	0	13.8	0	0.66	15.8	0	0	N
204	2016-12-07 18:48	Apple	32	0	13.8	0	0.66	15.7	0	0	N
205	2016-12-07 18:49	Apple	32	0	13.9	0	0.65	15.8	0	0	N
206	2016-12-07 18:49	Apple	32	0	13.7	0	0.66	15.6	0	0	N
207	2016-12-07 18:49	Apple	32	0	14.5	0	0.63	16.1	0	0	N
208	2016-12-07 18:49	Apple	32	0	13.5	0	0.68	15.1	0	0	N
209	2016-12-07 18:49	Apple	32	0	13.7	0	0.66	15.4	0	0	N
