<Saved Data Information>											
���� �Ͻ� = 2016-12-07 19:40:10											
���� ���� = 200											
											
No	Measured DateTime	Calibration DB	Temperature [C]	Tree [No]	Sugar [Brix]	Acidity [%]	Firmness [Kgf]	DryMatter [%]	Coloring [%]	Size	Browning
32	2016-12-07 18:53	persimon	34	0	9.9	0	0	0	0	0	0
33	2016-12-07 18:53	persimon	34	0	10.6	0	0	0	0	0	0
34	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
35	2016-12-07 18:54	persimon	34	0	10.4	0	0	0	0	0	0
36	2016-12-07 18:54	persimon	34	0	9.8	0	0	0	0	0	0
37	2016-12-07 18:54	orange	34	0	12.2	0	0	0	0	0	0
38	2016-12-07 18:54	orange	34	0	12.3	0	0	0	0	0	0
39	2016-12-07 18:54	orange	34	0	12.2	0	0	0	0	0	0
40	2016-12-07 18:54	orange	34	0	12.4	0	0	0	0	0	0
41	2016-12-07 18:53	orange	33	0	12.5	0	0	0	0	0	0
42	2016-12-07 18:53	orange	33	0	11.9	0	0	0	0	0	0
43	2016-12-07 18:53	orange	33	0	11.7	0	0	0	0	0	0
44	2016-12-07 18:53	orange	33	0	12.3	0	0	0	0	0	0
45	2016-12-07 18:53	orange	33	0	11.8	0	0	0	0	0	0
46	2016-12-07 18:53	orange	34	0	11.5	0	0	0	0	0	0
47	2016-12-07 18:53	orange	34	0	12.6	0	0	0	0	0	0
48	2016-12-07 18:53	orange	34	0	12.3	0	0	0	0	0	0
49	2016-12-07 18:54	orange	34	0	12.5	0	0	0	0	0	0
50	2016-12-07 18:54	persimon	34	0	9.7	0	0	0	0	0	0
51	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
52	2016-12-07 18:54	persimon	34	0	10.6	0	0	0	0	0	0
53	2016-12-07 18:54	persimon	34	0	10.2	0	0	0	0	0	0
54	2016-12-07 18:54	persimon	34	0	10.1	0	0	0	0	0	0
55	2016-12-07 18:54	persimon	34	0	9.9	0	0	0	0	0	0
56	2016-12-07 18:53	persimon	33	0	10.1	0	0	0	0	0	0
57	2016-12-07 18:53	Apple	33	0	14.7	0	0	0	0	0	0
58	2016-12-07 18:53	Apple	33	0	14.7	0	0	0	0	0	0
59	2016-12-07 18:53	Apple	33	0	14.6	0	0	0	0	0	0
60	2016-12-07 18:53	Apple	33	0	14.4	0	0	0	0	0	0
61	2016-12-07 18:53	persimon	34	0	10.5	0	0	0	0	0	0
62	2016-12-07 18:53	persimon	34	0	10.2	0	0	0	0	0	0
63	2016-12-07 18:53	persimon	34	0	10.4	0	0	0	0	0	0
64	2016-12-07 18:54	orange	34	0	12.2	0	0	0	0	0	0
65	2016-12-07 18:54	orange	34	0	12.3	0	0	0	0	0	0
66	2016-12-07 18:54	orange	34	0	12.2	0	0	0	0	0	0
67	2016-12-07 18:54	orange	34	0	12.4	0	0	0	0	0	0
68	2016-12-07 18:54	orange	34	0	12.5	0	0	0	0	0	0
69	2016-12-07 18:54	orange	34	0	11.9	0	0	0	0	0	0
70	2016-12-07 18:54	orange	34	0	11.7	0	0	0	0	0	0
71	2016-12-07 18:53	orange	33	0	12.3	0	0	0	0	0	0
72	2016-12-07 18:53	orange	33	0	11.8	0	0	0	0	0	0
